id,stock_code,stock_name,close,change_rate,change_amount,volume,amount,amplitude,high,low,open,pre_close,volume_ratio,turnover,pe_dynamic,pb
5176,920002,万达轴承,92.20,-2.02%,-1.90,1.23万,1.14亿,4.21%,95.15,91.19,93.79,94.10,0.67,3.85%,68.52,5.67
5177,000608,阳光股份,3.88,-2.02%,-0.08,29.54万,1.14亿,7.83%,4.03,3.72,3.92,3.96,1.01,3.96%,-30.99,1.42
5178,300464,星徽股份,9.19,-2.03%,-0.19,27.53万,2.54亿,6.40%,9.65,9.05,9.49,9.38,0.86,7.75%,326.61,29.56
5179,920429,康比特,11.60,-2.03%,-0.24,1.35万,1588.17万,4.22%,12.05,11.55,12.00,11.84,0.64,1.19%,-45.40,1.73
5180,301368,丰立智能,55.04,-2.03%,-1.14,4.52万,2.50亿,4.17%,56.46,54.12,55.66,56.18,0.87,7.05%,6300.15,7.01
5181,600906,财达证券,6.26,-2.03%,-0.13,37.68万,2.38亿,3.13%,6.45,6.25,6.45,6.39,1.37,1.77%,20.04,1.62
5182,603095,越剑智能,21.63,-2.04%,-0.45,6.12万,1.32亿,5.39%,22.59,21.40,22.10,22.08,0.54,2.37%,98.23,2.39
5183,688652,京仪装备,153.80,-2.04%,-3.20,8.39万,12.95亿,5.10%,159.00,151.00,157.00,157.00,0.79,6.95%,139.08,11.50
5184,688050,爱博医疗,45.65,-2.04%,-0.95,2.50万,1.15亿,3.15%,47.10,45.63,46.89,46.60,1.06,1.29%,24.72,3.08
5185,300551,古鳌科技,13.45,-2.04%,-0.28,11.33万,1.54亿,4.15%,13.95,13.38,13.70,13.73,1.29,3.34%,-33.16,14.93
5186,300633,开立医疗,22.06,-2.04%,-0.46,4.70万,1.04亿,3.91%,22.79,21.91,22.64,22.52,1.20,1.75%,-205.56,2.93
5187,300622,博士眼镜,24.84,-2.05%,-0.52,9.50万,2.36亿,4.34%,25.60,24.50,25.36,25.36,0.61,6.10%,35.46,5.98
5188,300558,贝达药业,48.66,-2.05%,-1.02,10.36万,5.05亿,4.03%,50.10,48.10,49.78,49.68,0.97,2.47%,21.70,3.01
5189,600571,信雅达,11.91,-2.06%,-0.25,10.82万,1.29亿,4.11%,12.26,11.76,12.17,12.16,1.43,2.36%,-17.05,4.80
5190,600138,中青旅,8.05,-2.07%,-0.17,10.71万,8671.62万,2.43%,8.23,8.03,8.21,8.22,1.39,1.48%,-39.47,0.93
5191,301398,星源卓镁,45.65,-2.08%,-0.97,2.27万,1.04亿,7.51%,48.35,44.85,46.63,46.62,1.22,6.10%,-81.66,4.64
5192,600782,新钢股份,2.82,-2.08%,-0.06,78.83万,2.22亿,3.82%,2.89,2.78,2.89,2.88,2.39,2.51%,-3.07,0.35
5193,603291,联合水务,11.27,-2.09%,-0.24,20.00万,2.16亿,11.47%,11.70,10.38,11.67,11.51,3.28,4.73%,80.13,2.61
5194,603093,南华期货,21.58,-2.09%,-0.46,17.06万,3.72亿,4.58%,22.44,21.43,22.05,22.04,0.64,2.80%,18.91,2.69
5195,002555,三七互娱,19.69,-2.09%,-0.42,38.99万,7.69亿,3.28%,20.20,19.54,20.16,20.11,1.19,2.46%,12.47,3.20
5196,002658,雪迪龙,8.90,-2.09%,-0.19,23.94万,2.12亿,5.39%,9.20,8.71,9.11,9.09,0.65,6.68%,99.25,2.21
5197,600038,中直股份,28.08,-2.09%,-0.60,11.30万,3.17亿,3.63%,28.82,27.78,28.79,28.68,1.55,1.69%,152.05,1.31
5198,600887,伊利股份,26.20,-2.09%,-0.56,64.06万,16.92亿,2.84%,26.95,26.19,26.95,26.76,1.44,1.02%,7.68,2.78
